time,Qobs,Qrouted
1987,36.998360655737706,41.58949704644313
1988,42.725136612021856,33.45143525195993
1989,24.85550684931507,20.143003209679797
1990,16.049917808219178,11.783969410270648
1991,16.67958904109589,14.210108479144779
1992,26.029863387978143,19.631245426436227
1993,18.663013698630138,10.461381387256553
1994,24.492520547945208,17.13983220380056
1995,31.08342465753425,29.607675923216384
1996,56.318579234972674,42.3983106512869
1997,50.54986301369863,54.10959286588448
1998,26.876438356164382,26.118002023545515
1999,34.593972602739726,28.249175416434046
2000,38.61448087431694,30.91687068422326
2001,31.759999999999998,31.70204251151637
2002,51.709315068493154,53.63993263711837
2003,31.774767123287674,25.154981285754168
2004,37.160655737704914,29.206220865258064
2005,39.06874794520548,32.34485047123091
2006,54.32691506849315,54.14624098249547
2007,31.923717808219177,31.524851726254553
2008,26.445144808743173,24.201065045356312
2009,45.489167123287665,48.79291911344522
2010,74.96371780821919,83.32366724600313
2011,37.06818082191781,30.838260948992964
2012,23.37034426229508,18.929031625320363
2013,45.394101369863016,44.65450745179588
2014,30.806561643835618,38.12632878708008
2015,29.61189315068493,23.657900961037146
2016,26.260756830601093,21.318175349544667
2017,15.619128767123287,13.33919506980064
2018,12.808945205479453,9.154339428101604
2019,21.454276712328767,15.371638092528269
2020,38.34508196721311,47.11414502556654
