ID,LAT,LON,KGE,Correlation,Bias,Variability,Count
468000,49.3003845,15.6782696,0.8312567214854648,0.8376586090188464,1.0436940546177458,0.9854949522855093,13576
441500,49.6392206,16.2170502,0.6312990697161088,0.8420699004209835,1.3113420464960697,1.1185942229740045,14671
463000,49.3137753,15.4063213,0.4849625057569503,0.8646293759336653,1.4753948881795644,1.1447000860704304,14671
465000,49.3806057,15.5042712,0.8550607184011105,0.8743165628277181,1.0104937400179168,1.0714209380462032,14671
469000,49.2150769,15.9348353,0.8848261948041614,0.8891644514114148,0.9687742167716052,1.0023317448680433,14671
469500,49.1030689,16.1829193,0.6711428649024642,0.6812257844529696,1.026767977844556,1.0762462469177834,14671
470000,49.4225289,15.9855345,0.7866068849482594,0.8620650228789122,0.8980223476544152,0.8730704051051393,14671
471000,49.3927303,16.0124703,0.6878087991989021,0.8265525798247906,1.2182760491244042,0.8595190238116334,14671
473000,49.3196033,16.0254481,0.8013874822128593,0.8637322272353678,0.9753165947893324,0.857631619259332,14671
430000,48.9033407,15.6913717,0.6420772994353348,0.8269445479804641,0.7344333759200766,0.833762704904676,14671
434000,48.8946231,15.8190989,0.7050334450488114,0.7901305999444206,0.7927824649802777,0.9954177908784188,11019
437000,48.7908632,16.4376431,0.6428963336362084,0.8205481206848976,0.7062056330314741,1.094894264728187,14671
474000,49.115976,16.3437214,-0.22249958409851844,0.49440919523936666,0.005224661911605112,1.4993047145718386,14671
476000,49.0704303,15.938994,0.5063887411182024,0.7225018010220713,0.62830323923042,1.1687849000718977,14671
454000,49.5320475,16.5805849,0.4552134851705477,0.8470455442268348,1.3517711646870012,1.3868518177466749,14671
457000,49.2454285,16.6749281,0.7407138470278318,0.8888391268775824,1.1328493019695987,1.192934269573756,14671
448000,49.2774573,16.4396821,0.8196912558847875,0.8843882714626597,1.0263616105180273,1.1358316491834997,14671
449000,49.1859963,16.5914796,0.7391828694429063,0.8778103207282528,1.0787601068315706,1.2165458460543244,12115
462000,49.0363107,16.6162645,0.694494557584169,0.8978166309713136,1.0249168970116023,1.286829710251489,14671
431000,49.0211304,15.5672246,0.6604705006691874,0.7864732215874977,0.7512396108620051,0.9116548551842054,14671
480500,48.8037157,16.8537248,0.7040755193943338,0.8725745081013465,0.9129442056798285,1.2524981800160222,12115
